ancestor_concept_id,descendant_concept_id,min_levels_of_separation,max_levels_of_separation
2035964,2035964,0,0
605888,605888,0,0
42684010,42684010,0,0
40930493,40930493,0,0
4305518,4305518,0,0
4178434,4178434,0,0
4143876,4143876,0,0
4021609,4310828,2,2
4021609,4015908,2,2
4021609,4196212,1,1
4021609,4134736,2,2
4021609,4015906,2,2
4021609,4258680,2,2
4021609,4134879,1,1
4021609,4134733,1,1
4021609,4147438,2,2
4021609,4018682,2,2
4021609,4024273,2,2
4021609,4017838,2,2
4021609,4135024,2,2
4021609,4021609,0,0
4021609,4300892,2,2
4021609,4135006,2,2
4021609,4254545,1,1
4021609,4015907,2,2
4021609,4018681,2,2
4021609,4018265,2,2
4021609,4017837,2,2
4021609,4238221,2,2
3000363,3000363,0,0
2922620,2922620,0,0
2922620,2922618,0,0
2840054,2791751,1,1
2840054,2840054,0,0
2824463,2824463,0,0
2824463,2758785,1,1
45158201,45158201,0,0
45303837,45303837,0,0
2800989,2788814,2,2
2800989,1523700,1,1
2800989,2886067,1,1
2800989,1524095,2,2
2800989,2800989,0,0
2743667,2743667,0,0
2070794,2070761,1,1
2070794,2070762,2,2
2070794,2070794,0,0
2056905,2056905,0,0
2056905,2056871,1,1
2056905,2056872,2,2
2037307,2037307,0,0
2037307,2037308,1,1
2022537,2022537,0,0
2022537,2022535,0,0
2022537,2022536,1,1
1718511,1718514,1,1
1718511,1718511,0,0
1617563,1617563,0,0
1536100,1536100,0,0
1536100,1535149,1,1
1536100,43014894,2,2
1536100,43014896,2,2
1536100,1535755,1,1
1536100,1535252,1,1
1536100,43014895,2,2
1500287,1500287,0,0
1500287,2075009,2,2
1500287,42731583,2,2
1500287,36818473,2,3
1500287,2075012,2,3
1500287,2075053,2,2
1500287,36818446,2,3
1500287,43655805,1,1
1500287,36818472,2,3
1500287,19012860,1,1
1500287,36814819,2,2
1500287,43870222,2,3
1500287,2075008,2,2
1500287,19101878,1,1
1500287,36814848,2,2
1500287,19116831,0,0
1500287,2075054,2,3
1500287,19106414,1,1
1500287,43799484,2,2
1500287,36897813,2,2
1500287,36814934,2,2
1500287,36814933,2,3
1500287,36814847,2,2
1500287,1548445,1,1
1500287,36814935,2,2
1500287,36940929,2,2
1500287,36938770,2,2
1301792,1301793,1,1
1301792,1301792,0,0
1146204,1146204,0,0
1146204,1146755,0,0
995341,995341,0,0
765858,765858,0,0
603939,603939,0,0
434167,434167,0,0
2934328,2934327,1,1
2934328,2934328,0,0
2933662,2933662,0,0
2899207,2899207,0,0
2899207,2771459,1,1
2888471,2888471,0,0
2888471,2727923,2,2
2888471,2727922,2,2
2888471,2828685,1,1
2888471,2727924,2,2
2888471,2813464,1,1
2881251,2881251,0,0
2881251,2794657,1,1
2875430,2875430,0,0
2875430,2734427,1,1
2872210,2872210,0,0
2872210,2772660,1,1
2868368,2868368,0,0
2868368,2733533,1,1
2868368,2729791,1,1
2837886,2850558,1,1
2837886,2850560,1,1
2837886,2882698,2,2
2837886,2850559,2,2
2837886,2837886,0,0
2837886,2869050,1,1
2837886,2757295,3,3
2837886,2757296,3,3
2837886,2757297,3,3
2837886,2864011,2,2
2829707,2829707,0,0
2829707,2738658,2,2
2829707,2873815,1,1
2813940,2732135,1,1
2813940,2813940,0,0
2813852,2813852,0,0
2813852,2789567,1,1
2812693,2745711,2,2
2812693,2834958,1,1
2812693,2812693,0,0
2812693,2745712,2,2
2812693,2887235,1,1
2812693,2745710,2,2
2804739,2741426,1,1
2804739,2804739,0,0
2796324,2796326,1,1
2796324,2879161,2,2
2796324,42897315,3,3
2796324,2730830,3,3
2796324,2730829,3,3
2796324,2796324,0,0
2796324,2865907,1,1
2796324,42897314,3,3
2796324,2889603,1,1
2796324,2730831,3,3
2796324,2796325,2,2
2796324,42897313,3,3
2796324,2889604,2,2
2792351,2792351,0,0
2777713,2777713,0,0
2762111,2762111,0,0
2761580,2761580,0,0
2756295,2756295,0,0
2751400,2751400,0,0
2747983,2747983,0,0
2747768,2747768,0,0
2743945,2743945,0,0
2740330,2740330,0,0
2731005,2731005,0,0
2052412,2052412,0,0
2046189,2046189,0,0
1621130,1621130,0,0
1002238,1002238,0,0
4165952,4165952,0,0
4102569,4102569,0,0
4063350,4063350,0,0
2916238,2916233,2,2
2916238,2916231,2,2
2916238,2916238,0,0
2916238,2916235,0,0
2916238,2916234,1,1
2916238,2916232,1,1
4103181,4320698,1,1
4103181,4319877,2,2
4103181,4103182,1,1
4103181,4319623,1,1
4103181,4320530,2,2
4103181,4189455,1,1
4103181,4319622,1,1
4103181,4103181,0,0
4103181,4320999,1,1
4103181,4319878,2,2
4103181,4116632,1,1
44165961,44167416,1,1
44165961,44165961,0,0
44136448,44136448,0,0
44116209,44116209,0,0
44111623,44111623,0,0
44111623,44133363,1,1
44111623,44134152,0,0
44104033,44104033,0,0
44104033,44080986,0,0
44104033,44051727,2,2
44104033,44123943,1,1
44104033,44087022,1,1
44102219,44102219,0,0
44095569,44095569,0,0
44095569,44111688,1,1
44095569,44085946,1,1
44095569,44127536,2,2
44095569,44073049,1,1
44095569,44114405,2,2
44095569,44127535,2,2
44067582,44067582,0,0
44067582,44086281,1,1
44067582,44050510,2,2
44067531,44067531,0,0
44067531,44060563,1,1
44067531,44128018,2,2
44046875,44046875,0,0
44046875,44062400,1,1
44039365,44039365,0,0
44039365,44125903,1,1
44039365,44103126,2,2
44039365,44090093,2,2
44039365,44125904,1,1
44039365,44059108,1,1
44039365,44093854,0,0
44039365,44055194,0,0
44037855,44037855,0,0
44037288,44037288,0,0
44027755,44027755,0,0
44027755,44111228,1,1
44027755,44049141,2,2
43868604,43868604,0,0
43868604,43796216,1,1
43857417,43857417,0,0
43857417,43824354,1,1
43857417,43716228,2,2
43857417,43829770,2,2
43857417,43767134,1,1
43857417,43866084,1,1
43851013,43851013,0,0
43851013,43717134,1,1
43851013,43753143,0,0
43845751,43845751,0,0
43845751,43647876,1,1
43844690,43844690,0,0
43842185,43842185,0,0
43842185,43842186,0,0
43842185,43752046,1,1
43832441,43832441,0,0
43832441,43742459,1,1
43822457,43822457,0,0
43822457,43826255,1,1
43822457,43808151,1,2
43822457,43606452,1,1
43822457,43790026,1,1
43822457,43736292,0,0
43822457,43736293,1,2
43822457,43786377,1,1
43822457,43718127,1,1
43817971,43817971,0,0
43806206,43806206,0,0
43806206,41331331,1,1
43806206,41333373,1,1
43806206,43824363,0,0
43806206,43698493,1,1
43804551,40887097,2,3
43804551,43804552,1,1
43804551,41230616,2,3
43804551,41222251,1,1
43804551,41159998,2,2
43804551,40847634,2,2
43804551,40847635,2,2
43804551,43840755,2,2
43804551,41097221,2,2
43804551,41011664,2,3
43804551,41034553,2,2
43804551,43804551,0,0
43804551,41065674,2,2
43804551,40855771,2,3
43804551,41261343,2,3
43804551,41136941,2,3
43797739,43797739,0,0
43797739,43833009,0,0
43797739,43666905,1,1
43797739,43706959,1,1
43797739,43851006,1,1
43797739,43702752,2,2
43797739,43684810,1,1
43795842,43777963,1,1
43795842,43795842,0,0
43790848,43790848,0,0
43790848,43737077,1,1
43769640,43769640,0,0
43769640,43823687,0,0
43769640,43589669,1,1
43767803,41119413,1,1
43767803,40931872,2,2
43767803,41275284,2,2
