concept_class_id,concept_class_name,concept_class_concept_id
10th level,10th administrative level,32559
11-digit NDC,11-digit NDC code,44819243
11th level,11th administrative level,32567
12th level,12th administrative level,32562
2-dig nonbill code,2-digit non-billing code,45754881
2nd level,2nd administrative level,32566
3-char billing code,3-character billing code,46233663
3-char nonbill code,3-character non-billing code,46233658
3-dig billing code,3-digit billing code,45754868
3-dig billing E code,3-digit billing E code,46233669
3-dig billing V code,3-digit billing V code,45754873
3-dig nonbill code,3-digit non-billing code,45754876
3-dig nonbill E code,3-digit non-billing E code,45754879
3-dig nonbill V code,3-digit non-billing V code,45754878
3rd level,3rd administrative level,32560
4-char billing code,4-character billing code,46233664
4-char nonbill code,4-character non-billing code,46233659
4-dig billing code,4-digit billing code,45754869
4-dig billing E code,4-digit billing E code,45754871
4-dig billing V code,4-digit billing V code,45754874
4-dig nonbill code,4-digit non-billing code,45754877
4-dig nonbill E code,4-digit non-billing E code,45754880
4-dig nonbill V code,4-digit non-billing V code,45756722
4th level,4th administrative level,32568
5-char billing code,5-character billing code,46233665
5-char nonbill code,5-character non-billing code,46233660
5-dig billing code,5-digit billing code,45754870
5-dig billing E code,5-digit billing E code,45754872
5-dig billing V code,5-digit billing V code,45754875
5th level,5th administrative level,32564
6-char billing code,6-character billing code,46233666
6-char nonbill code,6-character non-billing code,46233661
6-dig billing code,6-dig billing code,32745
6th level,6th administrative level,32565
7-char billing code,7-character billing code,46233667
7-char nonbill code,7-character non-billing code,46233662
7th level,7th administrative level,32569
8th level,8th administrative level,32561
9-digit NDC,9-digit NDC code,44819244
9th level,9th administrative level,32563
Admin Concept,Administrative Concept,44818986
Admitting Source,Admitting Source,44819002
Aggregate Meas,Aggregate Measurement,45905726
AJCC Category,AJCC Category,32951
AJCC Chapter,AJCC Chapter,32950
AMP,Actual Medicinal Product,5002
AMPP,Actual Medicinal Product Pack,5003
Anatom Main Group,1st Level - Anatomical Main Group,44819087
Anatomy,Anatomy,45905714
Animal Drug,Non-human drug class Animal Drug,46277305
Answer,Answers,45754682
APC,Ambulatory Patient Classification,44819245
ATC,Anatomical Therapeutic Chemical Classification,44819054
ATC 1st,ATC 1st Level,44819281
ATC 2nd,ATC 2nd Level,44819283
ATC 3rd,ATC 3rd Level,44819280
ATC 4th,ATC 4th Level,44819285
ATC 5th,ATC 5th Level,44819284
Attribute,Attribute,44819070
AU Qualifier,AU Qualifier (AMT),5035
AU Substance,AU Substance (AMT),5034
Benefit,Benefit - healthcare items or services covered under a Health Plan,32482
Biobank Flag,Biobank Flag,44819019
BioCondition,BioCondition,32689
Biological Function,Biological Function,44819047
Blood Pressure Pos,Blood Pressure Position,45754804
Blood/Immune Disease,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,44819169
Body Structure,Body Structure,44818996
Brand Name,Brand Name,44819065
Branded Dose Group,Semantic Branded Dose Group,5025
Branded Drug,Semantic Branded Drug,44819063
Branded Drug Box,Branded Drug Box,202
Branded Drug Comp,Semantic Branded Drug Component,44819004
Branded Drug Form,Semantic Branded Drug Form,44819041
Branded Pack,Brand Name Pack,44818982
Branded Pack Box,Branded Pack Box,5044
Canonical,Canonical Unit,44819053
Canonical Unit,Canonical Unit,44819282
CAP Header,CAP Header,32774
CAP Protocol,CAP Protocol,32775
CAP Value,CAP Value,32772
CAP Variable,CAP Variable,32773
Category,Category,32966
CDM,CDM,32522
CDT,CDT,581440
CDT Hierarchy,CDT Hierarchy,581439
Cellular Therapy,Human drug class Cellular Therapy,45754861
Chart Availability,Chart Availability,44818991
Chem Subgroup,4th Level - Chemical Subgroup,44819090
Chem Substance,5th Level - Chemical Substance,44819091
Chemical Structure,Chemical Structure,44819068
Circulatory Disease,Diseases of the circulatory system,44819175
Claims Attachment,Claims Attachments,45754680
Clinical Dose Group,Semantic Clinical Dose Group,5024
Clinical Drug,Semantic Clinical Drug,44819028
Clinical Drug Box,Clinical Drug Box,203
Clinical Drug Comp,Semantic Clinical Drug Component,44819064
Clinical Drug Form,Semantic Clinical Drug Form,44819020
Clinical Finding,Clinical Finding,44818997
Clinical Observation,Clinical Class,45754679
Clinical Pack,Generic Pack,44818992
Clinical Pack Box,Clinical Pack Box,5043
Cohort,Cohort,44819246
Component,Component,32637
Component Class,Component Class,32640
Concept Class,OMOP Concept Class,44819247
Concept Relationship,Concept Relationship,44819026
Condition,Condition,44819048
Condition Cohort,Condition Cohort,44819034
Condition Occur Type,Condition Occurrence Type,44819012
Condition Status,OMOP Condition Status,32888
Condition Type,Condition Type,44819248
Congenital Disease,"Congenital malformations, deformations and chromosomal abnormalities",44819183
Containered Pack,Containered Trade Product Pack (AMT),5042
Context,Context,32641
Context-dependent,Situation with explicit context,44819051
ConvSet,ConvSet,45905718
Cosmetic,Non-human drug class Cosmetic,46274139
Cost Type,Cost Type,5030
CPT4,Current Procedural Terminology version 4,44819249
CPT4 Hierarchy,CPT4 Hierarchy,45754686
CPT4 Modifier,CPT4 Modifier,45754685
Currency,Currency,44819049
Custom Unit,Custom Unit,44819074
CVX,CVX vaccine,581401
Death Type,Death Type,44819000
Detail,Detail,581455
Device,Device,44819094
Device Type,Device Type,44819027
Diagnosis,Diagnosis,45905712
Diagnosis Code Type,Diagnosis Code Type,45754800
Diagnosis Type,Diagnosis Type,45754801
Diagnostic Category,Diagnostic Category,44819077
Digestive Disease,Diseases of the digestive system,44819177
Dimension,Tumor size and dimension,32935
Discharge Dispo,Discharge Disposition,44819003
