concept_id_1,concept_id_2,relationship_id,valid_start_date,valid_end_date,invalid_reason
43795148,43564109,Has brand name,2016-07-01,2099-12-31,NULL
40104727,19072304,Has brand name,2016-10-07,2099-12-31,NULL
21060035,21040412,Concept replaces,2017-07-30,2099-12-31,NULL
21060035,21040412,Mapped from,2017-08-25,2099-12-31,NULL
21060035,35411804,Has marketed form,2017-07-17,2099-12-31,NULL
21060035,40222924,Tradename of,2015-08-17,2099-12-31,NULL
21060035,40853581,Has marketed form,2017-07-18,2099-12-31,NULL
21060035,40884825,Has marketed form,2017-07-18,2099-12-31,NULL
21060035,40884828,Has marketed form,2017-07-18,2099-12-31,NULL
21060035,40947142,Has marketed form,2017-07-18,2099-12-31,NULL
21060035,41061326,Available as box,2017-07-18,2099-12-31,NULL
21060035,41071832,Has marketed form,2017-07-18,2099-12-31,NULL
21060035,41071834,Has marketed form,2017-07-18,2099-12-31,NULL
21060035,41103237,Has marketed form,2017-07-18,2099-12-31,NULL
21060035,41103238,Has marketed form,2017-07-18,2099-12-31,NULL
21060035,41134682,Has marketed form,2017-07-18,2099-12-31,NULL
21060035,41165922,Has marketed form,2017-07-18,2099-12-31,NULL
21060035,41165923,Has marketed form,2017-07-18,2099-12-31,NULL
21060035,41165924,Has marketed form,2017-07-18,2099-12-31,NULL
21060035,41259187,Has marketed form,2017-07-18,2099-12-31,NULL
21060035,41290269,Has marketed form,2017-07-18,2099-12-31,NULL
21060035,41290270,Has marketed form,2017-07-18,2099-12-31,NULL
21060035,41290271,Has marketed form,2017-07-18,2099-12-31,NULL
21060035,41290273,Has marketed form,2017-07-18,2099-12-31,NULL
21060035,41321574,Has marketed form,2017-07-18,2099-12-31,NULL
21060035,43141283,Available as box,2016-09-10,2099-12-31,NULL
21060035,43163483,Has marketed form,2017-06-24,2099-12-31,NULL
41222664,40918170,Has marketed form,2017-07-18,2099-12-31,NULL
41222664,40972523,Available as box,2017-07-18,2099-12-31,NULL
41222664,40980533,Has marketed form,2017-07-18,2099-12-31,NULL
41222664,41011845,Has marketed form,2017-07-18,2099-12-31,NULL
41222664,41042938,Has marketed form,2017-07-18,2099-12-31,NULL
41222664,41066129,Available as box,2017-07-18,2099-12-31,NULL
41222664,41074305,Has marketed form,2017-07-18,2099-12-31,NULL
41222664,41105708,Has marketed form,2017-07-18,2099-12-31,NULL
41222664,41168310,Has marketed form,2017-07-18,2099-12-31,NULL
41222664,41199715,Has marketed form,2017-07-18,2099-12-31,NULL
41222664,41199716,Has marketed form,2017-07-18,2099-12-31,NULL
41222664,41230807,Has marketed form,2017-07-18,2099-12-31,NULL
41222664,41261523,Has marketed form,2017-07-18,2099-12-31,NULL
41222664,41292674,Has marketed form,2017-07-18,2099-12-31,NULL
41222664,41292675,Has marketed form,2017-07-18,2099-12-31,NULL
41222664,41324026,Has marketed form,2017-07-18,2099-12-31,NULL
41222664,44057424,RxNorm is a,2017-07-18,2099-12-31,NULL
41242652,44058866,Box of,2017-07-18,2099-12-31,NULL
43172865,43216608,Box of,2016-09-10,2099-12-31,NULL
44805150,44805149,Is a,2015-03-01,2099-12-31,NULL
4165333,441493,Is a,2011-07-31,2099-12-31,NULL
4165333,4136297,Has causative agent,2011-07-31,2099-12-31,NULL
21060710,21041112,Constitutes,2015-08-17,2099-12-31,NULL
21089956,21147466,Has marketed form,2017-06-24,2099-12-31,NULL
21089956,37593722,Has marketed form,2019-01-17,2099-12-31,NULL
21089956,42902655,Tradename of,2015-08-17,2099-12-31,NULL
21107738,19011167,RxNorm has dose form,2015-08-17,2099-12-31,NULL
21107738,21146938,Has marketed form,2017-06-24,2099-12-31,NULL
21107738,21166683,Has marketed form,2017-06-24,2099-12-31,NULL
21107738,21605016,Drug has drug class,2015-08-17,2099-12-31,NULL
21107738,36279932,Has marketed form,2017-10-01,2099-12-31,NULL
42719158,19082103,RxNorm has dose form,2017-07-30,2099-12-31,NULL
42719158,41378585,Has quantified form,2017-07-30,2099-12-31,NULL
42719158,42720515,Box of,2017-07-30,2099-12-31,NULL
43634391,19082170,RxNorm has dose form,2016-07-01,2099-12-31,NULL
43666268,19095976,RxNorm has dose form,2016-07-01,2099-12-31,NULL
43666268,43833822,Marketed form of,2017-06-24,2099-12-31,NULL
44218330,41301497,Contains,2017-10-06,2099-12-31,NULL
44218330,44218421,Has tradename,2017-10-06,2099-12-31,NULL
43033936,43128794,Has brand name,2019-10-06,2099-12-31,NULL
43863594,43572021,Has brand name,2016-07-01,2099-12-31,NULL
21016046,40702886,Brand name of,2018-06-04,2099-12-31,NULL
21016046,35888582,Brand name of,2020-12-07,2099-12-31,NULL
21016046,43042819,Brand name of,2019-10-06,2099-12-31,NULL
21017200,21111882,Brand name of,2015-08-17,2099-12-31,NULL
21016046,35414144,Brand name of,2017-07-17,2099-12-31,NULL
21016046,36070664,Brand name of,2020-08-17,2099-12-31,NULL
21016046,40702769,Brand name of,2018-06-04,2099-12-31,NULL
21016046,36070545,Brand name of,2020-08-17,2099-12-31,NULL
2029507,2029499,Has tradename,2020-07-31,2099-12-31,NULL
2029507,2058604,Quantified form of,2020-07-31,2099-12-31,NULL
2029507,19082103,RxNorm has dose form,2020-07-31,2099-12-31,NULL
2057608,1559782,Tradename of,2020-07-31,2099-12-31,NULL
21021551,21168876,Box of,2018-08-02,2099-12-31,NULL
21021551,36404581,Has tradename,2017-08-02,2099-12-31,NULL
21032365,21150229,Box of,2015-08-17,2099-12-31,NULL
21074013,21105688,Tradename of,2015-08-17,2099-12-31,NULL
21074013,40709909,Has quantified form,2018-06-04,2099-12-31,NULL
21074013,40712032,Has quantified form,2018-06-04,2099-12-31,NULL
21074013,40713222,Has marketed form,2018-06-04,2099-12-31,NULL
41432473,36888636,Quantified form of,2017-07-18,2099-12-31,NULL
41432473,41434312,Has tradename,2017-07-18,2099-12-31,NULL
41455301,41458396,Has marketed form,2017-07-18,2099-12-31,NULL
41490583,41316345,Marketed form of,2017-07-18,2099-12-31,NULL
41490583,41490700,Marketed form of,2017-07-18,2099-12-31,NULL
41490583,41491967,Marketed form of,2017-07-18,2099-12-31,NULL
43676821,43820506,Box of,2016-07-01,2099-12-31,NULL
43676821,43838590,Has tradename,2016-07-01,2099-12-31,NULL
43682437,43589268,Marketed form of,2017-06-24,2099-12-31,NULL
43682437,43646459,Marketed form of,2017-06-24,2099-12-31,NULL
43682437,43715256,Marketed form of,2017-06-24,2099-12-31,NULL
43694137,43729980,RxNorm is a,2016-07-01,2099-12-31,NULL
35831807,35128413,Has brand name,2021-01-21,2099-12-31,NULL
43202600,21017287,Has brand name,2016-09-10,2099-12-31,NULL
21085577,21085577,Mapped from,2016-08-07,2099-12-31,NULL
21085577,21085577,Maps to,2016-08-07,2099-12-31,NULL
21086020,21086020,Mapped from,2016-08-07,2099-12-31,NULL
21086020,21086020,Maps to,2016-08-07,2099-12-31,NULL
21086020,41091382,Available as box,2017-07-18,2099-12-31,NULL
21086020,41366067,Has quantified form,2017-07-18,2099-12-31,NULL
36304510,36304510,Mapped from,2018-06-15,2099-12-31,NULL
36304510,36304510,Maps to,2018-06-15,2099-12-31,NULL
36304510,36308123,Has Answer,1970-01-01,2099-12-31,NULL
40893572,40088564,Tradename of,2017-07-18,2099-12-31,NULL
40893572,40893572,Mapped from,2017-07-18,2099-12-31,NULL
40893572,40893572,Maps to,2017-07-18,2099-12-31,NULL
40907515,40907515,Mapped from,2017-07-18,2099-12-31,NULL
40907515,40907515,Maps to,2017-07-18,2099-12-31,NULL
40907515,41355924,Has marketed form,2017-07-18,2099-12-31,NULL
40920008,19049024,RxNorm has ing,2017-07-30,2099-12-31,NULL
40920008,40920008,Mapped from,2017-07-18,2099-12-31,NULL
40920008,40920008,Maps to,2017-07-18,2099-12-31,NULL
40920008,42713770,Has tradename,2017-07-30,2099-12-31,NULL
40920008,42729792,Has tradename,2017-07-30,2099-12-31,NULL
40925249,40925249,Mapped from,2017-07-18,2099-12-31,NULL
40925249,40925249,Maps to,2017-07-18,2099-12-31,NULL
40925249,40999047,RxNorm inverse is a,2017-07-18,2099-12-31,NULL
40925249,41173898,Tradename of,2017-07-18,2099-12-31,NULL
41193592,41068176,Available as box,2017-07-18,2099-12-31,NULL
41193592,41193592,Mapped from,2017-07-18,2099-12-31,NULL
41193592,41193592,Maps to,2017-07-18,2099-12-31,NULL
41204888,40162863,Tradename of,2017-07-18,2099-12-31,NULL
41204888,41130415,Constitutes,2017-07-18,2099-12-31,NULL
41204888,41204888,Mapped from,2017-07-18,2099-12-31,NULL
41204888,41204888,Maps to,2017-07-18,2099-12-31,NULL
41497049,41497049,Mapped from,2017-07-18,2099-12-31,NULL
41497049,41497049,Maps to,2017-07-18,2099-12-31,NULL
42929341,42929341,Mapped from,2018-08-21,2099-12-31,NULL
42929341,42929341,Maps to,2018-08-21,2099-12-31,NULL
42944742,42944742,Mapped from,2018-08-21,2099-12-31,NULL
42944742,42944742,Maps to,2018-08-21,2099-12-31,NULL
42944742,42944744,Consists of,2018-08-21,2099-12-31,NULL
42944742,42944746,RxNorm is a,2018-08-21,2099-12-31,NULL
42945678,42945678,Mapped from,2018-08-21,2099-12-31,NULL
42945678,42945678,Maps to,2018-08-21,2099-12-31,NULL
42947375,42947375,Mapped from,2018-08-21,2099-12-31,NULL
42947375,42947375,Maps to,2018-08-21,2099-12-31,NULL
43627235,43627235,Mapped from,2016-12-18,2099-12-31,NULL
43627235,43627235,Maps to,2016-12-18,2099-12-31,NULL
43640775,43640775,Mapped from,2016-12-18,2099-12-31,NULL
43640775,43640775,Maps to,2016-12-18,2099-12-31,NULL
43640775,43802512,RxNorm inverse is a,2016-07-01,2099-12-31,NULL
44123999,44116225,Has marketed form,2017-06-25,2099-12-31,NULL
44123999,44123999,Mapped from,2017-06-25,2099-12-31,NULL
44123999,44123999,Maps to,2017-06-25,2099-12-31,NULL
4128298,4128298,Mapped from,1970-01-01,2099-12-31,NULL
4128298,4128298,Maps to,1970-01-01,2099-12-31,NULL
35793746,35775034,Quantified form of,2017-08-02,2099-12-31,NULL
37389850,36708235,Is a,2017-01-31,2099-12-31,NULL
41083874,41107395,Consists of,2017-07-18,2099-12-31,NULL
42939955,1103358,Tradename of,2018-08-21,2099-12-31,NULL
43030778,45775489,RxNorm has dose form,2019-10-06,2099-12-31,NULL
43133869,36892531,Tradename of,2017-06-24,2099-12-31,NULL
44507890,35905020,Mapped from,2019-06-16,2099-12-31,NULL
44507890,35905021,Mapped from,2019-06-16,2099-12-31,NULL
44507890,44507892,Consists of,2013-12-02,2099-12-31,NULL
44507890,44853353,Mapped from,2014-03-03,2099-12-31,NULL
44507890,45057719,Mapped from,2014-03-03,2099-12-31,NULL
