concept_id,concept_synonym_name,language_concept_id
439425,War injury due to fragments from shrapnel (disorder),4180186
45544954,"Oth fx shaft of rad, unsp arm, subs for clos fx w malunion",4180186
36304510,Eastern Cooperative Oncology Group; Everyday Cognition; Exchange; Finding; Findings; Ordinal; Point in time; QL; Qual; Qualitative; Random; Replace; Screen; Survey; SURVEY.GNHLTH,4180186
2732305,"Medical and Surgical @ Lower Arteries @ Occlusion @ Renal Artery, Left @ Percutaneous @ No Device @ No Qualifier",4180186
35613753,Mentor 324-4175 Cohesive II silicone gel-filled Siltex textured round high profile breast implant 175ml (Mentor Worldwide LLC) (physical object),4180186
45589177,"Nondisp fx of lateral malleolus of unsp fibula, 7thD",4180186
37389930,Juzo Hostess class 2 (23-32mmHg) thigh length open toe with silicone top band lymphoedema garment wide extra short size II Cacao (Juzo UK Ltd) 2 device (physical object),4180186
46216770,Juzo Dynamic Cotton class 2 (23-32mmHg) thigh length open toe with waist attachment lymphoedema garment right short size II Sesame (Juzo UK Ltd) 1 device (physical object),4180186
3025795,GalGalGlucCeramidase Tiss-cCnt,4180186
3025795,"Catalytic Content; Chemistry; GalGalGlucCeramidase; Point in time; QNT; Quan; Quant; Quantitative; Random; Tissue; Tissue, unspecified; UDP-GalNAc:beta-1,3-N-acetylgalactosaminyltransferase 1",4180186
3025795,sìèS¦¦t¦ûFï+sìèS¦¦t¦ûFï+Fæít¦ûFï+Tà¦TPÿµ¦¿TåçTà¦:sé¼sîûsÉ½TçÅ:µù¦Tù¦té¦:t+ät+çS+Äµ¦étëç:s«ÜTçÅsPï,4182948
36692362,Venoflex Micro class 2 (23-32mmHg) thigh length closed toe with dotted silicone band lymphoedema garment short size 2 Caramel (Thuasne UK Ltd) 2 device (physical object),4180186
4189394,Oral fluid benzodiazepine level (procedure),4180186
43016451,"Extraction of Left Large Intestine, Perc Approach, Diagn",4180186
43016451,"Medical and Surgical @ Gastrointestinal System @ Extraction @ Large Intestine, Left @ Percutaneous @ No Device @ Diagnostic",4180186
4323755,Aquaspirillum anulus,4180186
4323755,Giesbergeria anulus (organism),4180186
4021609,Salmonella group O:57 (organism),4180186
4021609,Salmonella group 57,4180186
4214578,10g monofilament sensation L foot abnormal (finding),4180186
4069691,Arthroscopy of wrist with partial synovectomy (procedure),4180186
42527271,F«¦s+ò:sÅætÄ¦:µù¦Tù¦té¦:{tÄ»sóâ}:µûçµíúsPï:FíÇs¦ôS+ÄF+ôFíÇsî+s¡ª.µèñsú½,4182948
42527271,Bld Bnk+Trans Med Nurse Note,4180186
42527271,Bld Bnk+Trans Med; Bld Bnk+Trans Med Nurse; Blood conservation; DOC.ONT; Document; Encounter; Evaluation and management; Evaluation and management note; Finding; Findings; notes; nursing; Point in time; Random; Tx; Visit note,4180186
4119048,Inspiratory/expiratory ratio (attribute),4180186
1002238,XR Metacarpal.5th Bone dev stage,4180186
1002238,5th; Arm; Bone dev stage; EXT; Imaging; Metacarpal.5th; Plain Films; Point in time; QNT; Quan; Quant; Quantitative; RADIOLOGY; Random; Scale; UE; Up; Upper extremity; Xray; X-ray,4180186
40162235,Rumex acetosella pollen extract,4180186
4178434,Blister of anus without infection (disorder),4180186
4084218,Orthopaedic emergency hospital admission,4180186
4084218,Orthopedic emergency hospital admission (procedure),4180186
46051258,Juzo Soft class 1 (18-21mmHg) thigh length open toe with wide silicone top band lymphoedema garment standard size VI Smoke (Juzo UK Ltd) (physical object),4180186
2756295,"Extraction of L Hand Subcu/Fascia, Perc Approach",4180186
2756295,"Medical and Surgical @ Subcutaneous Tissue and Fascia @ Extraction @ Subcutaneous Tissue and Fascia, Left Hand @ Percutaneous @ No Device @ No Qualifier",4180186
4137129,Heterobilharzia americanum (organism),4180186
2747768,Medical and Surgical @ Gastrointestinal System @ Destruction @ Large Intestine @ Via Natural or Artificial Opening @ No Device @ No Qualifier,4180186
2747768,"Destruction of Large Intestine, Via Opening",4180186
36716594,Fracture of pubis without disruption of pelvic ring (disorder),4180186
4012596,Open subluxation jaw (disorder),4180186
2740330,"Medical and Surgical @ Lower Veins @ Restriction @ Common Iliac Vein, Right @ Percutaneous Endoscopic @ No Device @ No Qualifier",4180186
2740330,"Restriction of Right Common Iliac Vein, Perc Endo Approach",4180186
4014145,Aschheim-Zondek test (procedure),4180186
4014145,Ascheim-Zondek test,4180186
45762701,"Gallbladder forceps, self-retaining (physical object)",4180186
